routine;undefined;condition;routine_tims_ms
Write data;-;default;4685.886
Write data;-;default;4697.569
Write data;-;default;4708.6
Write data;-;default;4719.177
Write data;-;default;4730.55
Write data;-;default;4741.817
Write data;-;default;4754.574
Write data;-;default;4764.194
Write data;-;default;4774.858
Write data;-;default;4786.27
Write data;-;default;4797.351
Write data;-;default;4808.016
Write data;-;default;4819.446
Write data;-;default;4830.308
Write data;-;default;4841.955
Write data;-;default;4854.064
Write data;-;default;4864.024
Write data;-;default;4875.222
Write data;-;default;4886.049
Write data;-;default;4896.935
Write data;-;default;4908.435
Write data;-;default;4919.481
Write data;-;default;4930.597
Write data;-;default;4941.959
Write data;-;default;4953.644
Write data;-;default;4963.801
Write data;-;default;4974.777
Write data;-;default;4986.324
Write data;-;default;4997.29
Write data;-;default;5008.197
Write data;-;default;5019.376
Write data;-;default;5030.294
Write data;-;default;5041.773
Write data;-;default;5053.386
Write data;-;default;5063.497
Write data;-;default;5075.076
Write data;-;default;5086.068
Write data;-;default;5097.113
Write data;-;default;5108.351
Write data;-;default;5119.684
Write data;-;default;5131.235
Write data;-;default;5144.512
Write data;-;default;5155.219
Write data;-;default;5164.284
Write data;-;default;5175.149
Write data;-;default;5186.016
Write data;-;default;5197.254
Write data;-;default;5215.181
Write data;-;default;5221.021
Write data;-;default;5241.98
Write data;-;default;5253.246
Write data;-;default;5264.871
Write data;-;default;5275.043
Write data;-;default;5285.961
Write data;-;default;5297.777
Write data;-;default;5308.604
Write data;-;default;5319.298
Write data;-;default;5334.379
Write data;-;default;5344.629
Write data;-;default;5354.645
Write data;-;default;5364.458
Write data;-;default;5374.79
Write data;-;default;5386.347
Write data;-;default;5397.684
Write data;-;default;5408.333
Write data;-;default;5419.389
Write data;-;default;5430.256
Write data;-;default;5441.467
Write data;-;default;5454.564
Write data;-;default;5464.607
Write data;-;default;5474.945
Write data;-;default;5486.34
Write data;-;default;5497.477
Write data;-;default;5508.263
Write data;-;default;5519.647
Write data;-;default;5530.492
Write data;-;default;5541.556
Write data;-;default;5554.641
Write data;-;default;5563.862
Write data;-;default;5575.106
Write data;-;default;5586.248
Write data;-;default;5597.298
Write data;-;default;5608.453
Write data;-;default;5619.473
Write data;-;default;5630.314
Write data;-;default;5641.384
Write data;-;default;5654.53
Write data;-;default;5663.798
Write data;-;default;5674.74
Write data;-;default;5686.585
Write data;-;default;5697.613
Write data;-;default;5709.012
Write data;-;default;5719.373
Write data;-;default;5730.606
